iter	Passed	Remaining
0	52	130935
1	93	116262
2	103	86251
3	151	94681
4	167	83533
5	203	84603
6	247	88162
7	318	99164
8	353	97843
9	391	97421
10	429	97141
11	466	96685
12	483	92465
13	501	89013
14	556	92260
15	598	92907
16	636	92981
17	644	88817
18	676	88381
19	715	88727
20	741	87575
21	792	89297
22	840	90495
23	893	92134
24	944	93491
25	1005	95662
26	1065	97591
27	1114	98392
28	1160	98898
29	1193	98254
30	1237	98543
31	1276	98458
32	1321	98807
33	1363	98861
34	1408	99165
35	1469	100570
36	1523	101427
37	1568	101610
38	1617	102095
39	1665	102448
40	1721	103268
41	1779	104137
42	1833	104750
43	1880	104974
44	1928	105232
45	1972	105209
46	2011	104971
47	2067	105620
48	2105	105322
49	2144	105087
50	2215	106382
51	2257	106258
52	2306	106475
53	2343	106158
54	2393	106406
55	2458	107289
56	2515	107803
57	2563	107952
58	2624	108564
59	2676	108861
60	2691	107630
61	2743	107875
62	2796	108156
63	2861	108905
64	2904	108795
65	2943	108550
66	2978	108175
67	3019	107995
68	3075	108352
69	3127	108585
70	3173	108572
71	3221	108646
72	3275	108901
73	3314	108677
74	3373	109078
75	3413	108886
76	3430	107940
77	3487	108286
78	3546	108676
79	3587	108533
80	3595	107367
81	3633	107129
82	3672	106946
83	3716	106902
84	3767	107049
85	3824	107348
86	3863	107147
87	3899	106881
88	3940	106749
89	3986	106754
90	4045	107099
91	4099	107312
92	4156	107574
93	4174	106854
94	4228	107057
95	4276	107097
96	4338	107486
97	4380	107364
98	4428	107413
99	4477	107460
100	4520	107361
101	4557	107155
102	4604	107149
103	4648	107085
104	4693	107057
105	4756	107425
106	4804	107453
107	4851	107455
108	4892	107323
109	4935	107239
110	4972	107013
111	5020	107035
112	5072	107150
113	5113	107032
114	5156	106932
115	5198	106836
116	5245	106846
117	5291	106818
118	5351	107070
119	5394	106989
120	5434	106850
121	5479	106798
122	5523	106746
123	5566	106667
124	5624	106857
125	5675	106930
126	5712	106729
127	5754	106640
128	5797	106558
129	5844	106556
130	5883	106399
131	5933	106435
132	5975	106351
133	6025	106392
134	6072	106375
135	6116	106327
136	6156	106181
137	6193	106009
138	6236	105931
139	6241	105215
140	6275	104995
141	6311	104798
142	6343	104561
143	6359	104046
144	6400	103959
145	6449	103995
146	6494	103956
147	6533	103832
148	6543	103245
149	6589	103235
150	6642	103327
151	6689	103342
152	6737	103345
153	6793	103493
154	6851	103657
155	6856	103025
156	6897	102935
157	6947	102988
158	6986	102858
159	7037	102921
160	7088	102982
161	7128	102879
162	7163	102705
163	7195	102489
164	7230	102318
165	7266	102171
166	7311	102137
167	7348	102010
168	7380	101804
169	7395	101363
170	7427	101164
171	7460	100979
172	7496	100831
173	7541	100810
174	7586	100788
175	7628	100724
176	7659	100528
177	7696	100401
178	7733	100282
179	7780	100281
180	7816	100140
181	7847	99951
182	7883	99817
183	7916	99641
184	7948	99461
185	7992	99436
186	8048	99556
187	8129	99973
188	8208	100366
189	8274	100604
190	8349	100933
191	8425	101282
192	8505	101673
193	8568	101845
194	8623	101928
195	8698	102252
196	8790	102758
197	8877	103212
198	8961	103623
199	9039	103958
200	9139	104537
201	9236	105072
202	9309	105339
203	9402	105825
204	9496	106316
205	9576	106641
206	9667	107095
207	9737	107297
208	9810	107536
209	9878	107721
210	9939	107831
211	9987	107791
212	10039	107795
213	10078	107660
214	10114	107499
215	10155	107384
216	10197	107281
217	10246	107254
218	10288	107164
219	10324	107003
220	10365	106888
