iter	MAE
0	6968988.788
1	6935316.391
2	6910522.381
3	6878245.606
4	6851929.016
5	6825192.641
6	6793783.807
7	6764238.816
8	6736166.739
9	6709007.084
10	6678279.479
11	6650777.21
12	6625893.773
13	6602056.887
14	6572722.441
15	6547014.888
16	6521636.957
17	6499833.298
18	6471964.011
19	6445984.822
20	6423622.761
21	6399577.26
22	6377158.521
23	6352583.003
24	6327824.277
25	6305284.711
26	6280744.498
27	6259236.631
28	6235952.302
29	6215009.741
30	6191493.599
31	6169167.21
32	6149906.556
33	6128182.624
34	6105091.111
35	6081957.762
36	6061553.147
37	6040954.149
38	6020356.743
39	5997810.055
40	5977895.504
41	5956846.418
42	5934998.018
43	5911868.037
44	5894037.364
45	5877525.504
46	5861241.647
47	5841415.584
48	5824514.844
49	5804774.048
50	5787809.796
51	5768135.241
52	5749849.558
53	5733257.782
54	5717582.751
55	5699709.037
56	5679951.677
57	5658530.592
58	5642678.09
59	5628171.373
60	5616174.471
61	5598221.812
62	5584250.459
63	5568608.286
64	5550515.033
65	5535400.409
66	5520410.1
67	5503871.571
68	5490496.207
69	5474989.826
70	5458408.193
71	5443344.544
72	5429840.67
73	5415351.551
74	5403917.941
75	5389487.994
76	5380164.213
77	5363697.046
78	5352520.034
79	5338258.678
80	5330779.551
81	5315397.708
82	5301826.195
83	5292482.974
84	5277692.659
85	5264605.251
86	5251147.234
87	5238150.873
88	5224838.764
89	5213109.638
90	5204590.187
91	5193632.19
92	5182723.108
93	5173426.927
94	5161236.661
95	5148630.747
96	5138790.327
97	5129549.714
98	5120093.929
99	5109789.813
100	5099133.868
101	5086387.203
102	5074958.477
103	5064969.376
104	5056166.686
105	5047931.09
106	5037559.336
107	5028947.997
108	5016747.444
109	5007331.539
110	4998723.438
111	4989996.21
112	4980008.913
113	4967055.217
114	4959878.88
115	4953634.725
116	4942964.118
117	4930785.187
118	4920869.485
119	4912253.775
120	4904882.51
121	4893501.29
122	4881225.443
123	4870115.728
124	4861184.452
125	4851459.417
126	4842999.281
127	4836400.219
128	4830552.265
129	4822522.988
130	4814188.371
131	4805083.361
132	4797494.226
133	4792314.834
134	4784317.593
135	4774403.383
136	4769010.829
137	4760729.217
138	4751214.371
139	4748854.193
140	4739086.356
141	4732380.428
142	4725144.258
143	4721127.74
144	4711261.986
145	4704197.257
146	4697010.544
147	4688687.394
148	4684727.354
149	4675721.574
150	4667813.324
151	4660822.932
152	4654584.358
153	4646787.126
154	4639499.143
155	4637008.277
156	4630770.345
157	4624200.392
158	4616965.61
159	4611886.133
160	4606604.956
161	4599764.633
162	4591535.301
163	4584259.847
164	4577274.505
165	4568056.131
166	4559561.249
167	4553714.737
168	4546333.58
169	4543370.136
170	4536728.041
171	4528725.361
172	4522729.944
173	4514184.821
174	4508197.642
175	4502381.782
176	4497930.764
177	4494336.07
178	4487208.919
179	4484887.473
180	4479525.852
181	4472966.241
182	4465421.205
183	4460716.693
184	4457210.37
185	4453229.325
186	4445945.293
187	4439436.584
188	4431897.621
189	4425918.96
190	4421240.394
191	4413806.998
192	4408314.845
193	4399372.876
194	4392831.671
195	4385398.53
196	4381902.963
197	4374884.06
198	4369477.38
199	4363950.66
200	4357887.088
201	4353829.574
202	4346400.395
203	4340272.379
204	4334925.269
205	4331921.916
206	4327768.218
207	4321997.52
208	4316507.852
209	4310247.625
210	4305382.015
211	4301538.472
212	4296551.435
213	4292245.39
214	4286987.144
215	4282784.955
216	4276873.194
217	4273891.417
218	4268407.423
219	4263447.395
220	4257112.418
221	4252789.485
222	4248459.89
223	4244845.653
224	4241246.848
225	4235551.516
226	4230425.454
227	4226834.907
228	4222748.722
229	4220300.451
230	4217257.879
231	4212876.559
232	4209247.357
233	4205536.597
234	4202196.801
235	4197209.536
236	4192741.911
237	4190532.142
238	4185750.358
239	4182674.982
240	4179156.722
241	4177605.336
242	4174432.818
243	4170696.201
244	4165941.276
245	4163000.161
246	4160012.371
247	4156629.769
248	4153295.048
249	4150680.793
250	4145851.09
